Location,Period,Financial Row,Amount,Budget Amount,Amount Over Budget
Eaton End,2025-06-01,Total - Overheads,46557.62,41105.15,5452.47
Riverside Academy,2025-04-01,Operating Profit,44808.1,44206.55,601.55
HEAD OFFICE,2025-01-01,Total - 5005 - Direct Staff  Cost,37407.3,35728.73,1678.57
Eaton End School,2025-05-01,Total - 5005 - Direct Staff  Cost,59904.02,67121.75,-7217.73
Riverside Academy,2025-06-01,Total - Sales,40514.36,34681.47,5832.89
Shrewsbury High School,2025-01-01,Operating Profit,32912.47,35521.01,-2608.54
Eaton End,2025-06-01,Operating Profit,56512.25,51685.35,4826.9
Eaton End,2025-12-01,Total - Sales,41134.07,42096.9,-962.83
HEAD OFFICE,2025-02-01,Total - Overheads,26103.46,25303.32,800.14
Riverside Academy,2025-01-01,5025 - Agency Staff,20690.53,20209.67,480.86
Shrewsbury High School,2025-10-01,Total - 5005 - Direct Staff  Cost,23390.87,21529.32,1861.55
Head Office,2025-07-01,Operating Profit,20146.92,20568.7,-421.78
Riverside Academy,2025-03-01,5025 - Agency Staff,25321.01,29004.4,-3683.39
HEAD OFFICE,2025-03-01,Operating Profit,35128.21,34594.34,533.87
SHREWSBURY HIGH SCHOOL,2025-06-01,Total - 5005 - Direct Staff  Cost,25809.39,23948.47,1860.92
SHREWSBURY HIGH SCHOOL,2025-12-01,Total - 5005 - Direct Staff  Cost,22267.49,25196.2,-2928.71
Riverside Academy,2025-03-01,Total - 5005 - Direct Staff  Cost,38197.19,43265.02,-5067.83
HEAD OFFICE,2025-08-01,5025 - Agency Staff,36914.34,33671.61,3242.73
Northwood Prep,2025-12-01,5025 - Agency Staff,22590.24,22471.39,118.85
SHREWSBURY HIGH SCHOOL,2025-05-01,Total - Overheads,22104.02,24275.17,-2171.15
Riverside Academy,2025-05-01,Total - 5005 - Direct Staff  Cost,23559.04,23754.36,-195.32
Head Office,2025-10-01,Operating Profit,33298.84,30256.6,3042.24
Eaton End,2025-10-01,5025 - Agency Staff,45373.69,43684.92,1688.77
Eaton End,2025-07-01,Total - 5005 - Direct Staff  Cost,47645.65,42462.11,5183.54
HEAD OFFICE,2025-12-01,Total - Sales,19547.59,17258.93,2288.66
Eaton End,2025-05-01,Total - Sales,69797.93,67426.33,2371.6
Shrewsbury High School,2025-09-01,Total - Sales,32922.69,36478.92,-3556.23
Riverside Academy,2025-02-01,Total - Overheads,20265.41,22714.02,-2448.61
Northwood Prep,2025-10-01,Total - 5005 - Direct Staff  Cost,30718.1,35270.52,-4552.42
Shrewsbury High School,2025-06-01,Total - Sales,27711.86,29758.56,-2046.7
Shrewsbury High School,2025-06-01,Operating Profit,13338.83,15175.17,-1836.34
HEAD OFFICE,2025-07-01,Total - Sales,24497.39,20878.8,3618.59
SHREWSBURY HIGH SCHOOL,2025-03-01,Operating Profit,21008.14,21686.49,-678.35
SHREWSBURY HIGH SCHOOL,2025-12-01,5025 - Agency Staff,19620.18,19602.27,17.91
Northwood Prep,2025-09-01,Total - Sales,35095.36,30304.43,4790.93
Eaton End,2025-07-01,Total - Sales,39018.51,42906.63,-3888.12
Northwood Prep,2025-11-01,Operating Profit,31068.79,30553.78,515.01
Riverside Academy,2025-06-01,Total - 5005 - Direct Staff  Cost,26260.46,28283.37,-2022.91
Eaton End,2025-03-01,Total - 5005 - Direct Staff  Cost,71738.72,61803.42,9935.3
