Location,Absence Start,Employee Ref,Reason,Days
Northwood Prep,2025-09-04,E0084,Unplanned,2
Riverside Academy,2025-10-10,E0085,Unplanned,4
Eaton End,2025-01-20,E0008,Unplanned,3
Head Office,2025-08-27,E0086,Unplanned,2
Head Office,2025-01-21,E0001,Unplanned,1
Northwood Prep,2025-11-06,E0004,Sickness,1
Head Office,2025-03-05,E0041,Unplanned,5
Head Office,2025-03-18,E0006,Unplanned,5
Head Office,2025-01-19,E0031,Unplanned,3
Eaton End School,2025-06-06,E0093,Unplanned,4
Eaton End,2025-01-24,E0003,Sickness,1
Riverside Academy,2025-01-13,E0070,Unplanned,2
Northwood Prep,2025-03-07,E0074,Unplanned,3
Head Office,2025-05-25,E0006,Unplanned,4
SHREWSBURY HIGH SCHOOL,2025-11-21,E0072,Unplanned,5
Eaton End School,2025-01-09,E0048,Unplanned,3
Riverside Academy,2025-01-27,E0075,Sickness,4
Riverside Academy,2025-11-05,E0035,Sickness,1
HEAD OFFICE,2025-03-18,E0091,Sickness,2
Head Office,2025-05-20,E0076,Unplanned,5
Northwood Prep,2025-09-22,E0069,Unplanned,4
Eaton End School,2025-11-16,E0068,Unplanned,5
SHREWSBURY HIGH SCHOOL,2025-05-07,E0082,Unplanned,4
Eaton End School,2025-02-25,E0088,Unplanned,2
Riverside Academy,2025-06-04,E0105,Sickness,3
Head Office,2025-12-05,E0011,Sickness,4
HEAD OFFICE,2025-08-15,E0026,Unplanned,4
Head Office,2025-05-09,E0046,Sickness,4
HEAD OFFICE,2025-09-26,E0036,Sickness,5
SHREWSBURY HIGH SCHOOL,2025-03-29,E0017,Unplanned,1
Eaton End,2025-04-28,E0093,Sickness,4
HEAD OFFICE,2025-03-01,E0081,Sickness,5
SHREWSBURY HIGH SCHOOL,2025-10-23,E0087,Unplanned,1
Northwood Prep,2025-03-04,E0104,Unplanned,1
Shrewsbury High School,2025-10-27,E0102,Unplanned,3
Riverside Academy,2025-01-04,E0025,Unplanned,5
SHREWSBURY HIGH SCHOOL,2025-03-29,E0037,Sickness,2
Head Office,2025-08-03,E0076,Unplanned,1
Northwood Prep,2025-02-28,E0034,Unplanned,4
SHREWSBURY HIGH SCHOOL,2025-10-24,E0047,Unplanned,1
Riverside Academy,2025-11-20,E0105,Unplanned,5
Shrewsbury High School,2025-03-24,E0037,Unplanned,4
HEAD OFFICE,2025-02-11,E0021,Unplanned,3
Head Office,2025-05-08,E0026,Sickness,1
SHREWSBURY HIGH SCHOOL,2025-06-12,E0087,Unplanned,4
Riverside Academy,2025-11-13,E0090,Sickness,2
HEAD OFFICE,2025-07-18,E0096,Unplanned,3
Northwood Prep,2025-05-09,E0054,Unplanned,5
Northwood Prep,2025-12-14,E0014,Unplanned,4
Head Office,2025-04-19,E0001,Unplanned,5
Head Office,2025-02-27,E0006,Unplanned,4
Northwood Prep,2025-03-12,E0034,Sickness,4
Shrewsbury High School,2025-10-10,E0087,Unplanned,4
Eaton End,2025-10-07,E0043,Unplanned,5
Northwood Prep,2025-06-18,E0039,Unplanned,3
Northwood Prep,2025-08-20,E0014,Unplanned,3
Riverside Academy,2025-01-27,E0070,Unplanned,2
Shrewsbury High School,2025-08-01,E0007,Sickness,4
Northwood Prep,2025-10-03,E0054,Unplanned,1
Eaton End School,2025-11-19,E0033,Unplanned,2
Shrewsbury High School,2025-03-23,E0077,Sickness,5
Shrewsbury High School,2025-09-24,E0077,Unplanned,2
SHREWSBURY HIGH SCHOOL,2025-08-21,E0032,Unplanned,1
HEAD OFFICE,2025-09-06,E0016,Sickness,4
Northwood Prep,2025-03-14,E0059,Unplanned,1
Head Office,2025-05-29,E0091,Unplanned,2
Eaton End,2025-05-07,E0038,Unplanned,1
Head Office,2025-12-20,E0021,Sickness,4
Head Office,2025-03-24,E0001,Unplanned,2
Shrewsbury High School,2025-02-11,E0057,Sickness,2
HEAD OFFICE,2025-08-04,E0071,Sickness,1
Shrewsbury High School,2025-08-04,E0052,Unplanned,5
HEAD OFFICE,2025-05-21,E0101,Unplanned,4
Northwood Prep,2025-06-25,E0104,Unplanned,1
Northwood Prep,2025-05-12,E0014,Sickness,2
Head Office,2025-03-07,E0056,Unplanned,1
Northwood Prep,2025-12-22,E0099,Unplanned,4
Eaton End School,2025-05-18,E0098,Unplanned,2
HEAD OFFICE,2025-09-22,E0021,Unplanned,4
Eaton End School,2025-10-20,E0098,Unplanned,2
SHREWSBURY HIGH SCHOOL,2025-05-27,E0012,Unplanned,4
Head Office,2025-01-09,E0021,Sickness,3
Northwood Prep,2025-11-03,E0084,Unplanned,3
Shrewsbury High School,2025-11-06,E0102,Sickness,3
Riverside Academy,2025-04-03,E0090,Unplanned,3
Shrewsbury High School,2025-10-26,E0067,Sickness,2
HEAD OFFICE,2025-12-06,E0001,Sickness,3
Northwood Prep,2025-02-12,E0019,Unplanned,1
HEAD OFFICE,2025-10-06,E0016,Sickness,1
HEAD OFFICE,2025-02-24,E0016,Unplanned,1
Eaton End School,2025-05-22,E0078,Sickness,1
Eaton End School,2025-09-20,E0063,Unplanned,1
Eaton End,2025-01-11,E0003,Unplanned,5
Head Office,2025-04-16,E0096,Unplanned,3
HEAD OFFICE,2025-06-22,E0071,Unplanned,3
HEAD OFFICE,2025-04-02,E0056,Unplanned,3
Northwood Prep,2025-11-29,E0049,Sickness,4
SHREWSBURY HIGH SCHOOL,2025-06-08,E0092,Sickness,4
SHREWSBURY HIGH SCHOOL,2025-02-09,E0062,Unplanned,3
SHREWSBURY HIGH SCHOOL,2025-08-29,E0057,Unplanned,3
Riverside Academy,2025-02-07,E0035,Unplanned,1
Head Office,2025-12-07,E0101,Sickness,1
Northwood Prep,2025-11-25,E0104,Unplanned,2
Eaton End,2025-07-23,E0028,Unplanned,2
Riverside Academy,2025-06-13,E0010,Sickness,5
Shrewsbury High School,2025-07-15,E0027,Unplanned,2
SHREWSBURY HIGH SCHOOL,2025-08-03,E0002,Unplanned,5
Riverside Academy,2025-11-13,E0075,Unplanned,4
Eaton End School,2025-03-02,E0073,Unplanned,3
Northwood Prep,2025-08-15,E0099,Sickness,5
Northwood Prep,2025-12-21,E0019,Unplanned,1
Shrewsbury High School,2025-04-01,E0032,Sickness,5
Riverside Academy,2025-05-18,E0050,Sickness,3
Shrewsbury High School,2025-05-25,E0062,Sickness,2
Eaton End,2025-12-07,E0048,Unplanned,3
Head Office,2025-05-30,E0001,Unplanned,1
HEAD OFFICE,2025-08-23,E0041,Sickness,5
Riverside Academy,2025-01-05,E0035,Unplanned,3
Riverside Academy,2025-08-20,E0095,Unplanned,3
Northwood Prep,2025-02-07,E0094,Unplanned,3
Riverside Academy,2025-10-11,E0025,Unplanned,2
Head Office,2025-05-03,E0046,Unplanned,4
SHREWSBURY HIGH SCHOOL,2025-10-13,E0102,Unplanned,2
Head Office,2025-02-10,E0056,Unplanned,2
SHREWSBURY HIGH SCHOOL,2025-05-13,E0027,Unplanned,1
SHREWSBURY HIGH SCHOOL,2025-05-26,E0002,Unplanned,5
Northwood Prep,2025-04-26,E0009,Unplanned,2
Shrewsbury High School,2025-11-02,E0087,Unplanned,4
Head Office,2025-05-21,E0096,Unplanned,1
Shrewsbury High School,2025-10-30,E0017,Unplanned,5
Riverside Academy,2025-01-27,E0085,Sickness,1
Head Office,2025-03-23,E0096,Unplanned,2
Eaton End,2025-08-24,E0068,Unplanned,2
Northwood Prep,2025-01-14,E0029,Sickness,2
Shrewsbury High School,2025-07-18,E0027,Unplanned,1
Riverside Academy,2025-01-26,E0080,Unplanned,4
SHREWSBURY HIGH SCHOOL,2025-09-08,E0077,Unplanned,1
Head Office,2025-12-14,E0016,Sickness,2
Northwood Prep,2025-02-16,E0009,Unplanned,2
SHREWSBURY HIGH SCHOOL,2025-06-04,E0047,Unplanned,1
Eaton End School,2025-05-26,E0028,Unplanned,1
Northwood Prep,2025-02-06,E0019,Unplanned,3
Shrewsbury High School,2025-08-26,E0087,Unplanned,5
Riverside Academy,2025-09-15,E0065,Sickness,2
SHREWSBURY HIGH SCHOOL,2025-01-24,E0062,Sickness,5
Northwood Prep,2025-09-08,E0094,Unplanned,3
SHREWSBURY HIGH SCHOOL,2025-09-03,E0077,Unplanned,3
HEAD OFFICE,2025-02-03,E0016,Unplanned,2
Northwood Prep,2025-09-16,E0034,Unplanned,2
HEAD OFFICE,2025-12-11,E0066,Unplanned,1
HEAD OFFICE,2025-07-11,E0101,Unplanned,5
HEAD OFFICE,2025-09-15,E0036,Unplanned,4
Riverside Academy,2025-05-03,E0020,Sickness,2
Riverside Academy,2025-07-19,E0095,Sickness,1
Head Office,2025-11-28,E0036,Unplanned,2
Northwood Prep,2025-05-02,E0094,Unplanned,1
Head Office,2025-12-19,E0071,Unplanned,1
SHREWSBURY HIGH SCHOOL,2025-12-23,E0042,Sickness,2
Northwood Prep,2025-01-10,E0104,Unplanned,5
Riverside Academy,2025-09-29,E0050,Sickness,5
SHREWSBURY HIGH SCHOOL,2025-06-02,E0042,Sickness,1
Shrewsbury High School,2025-04-12,E0102,Sickness,1
Northwood Prep,2025-09-26,E0029,Unplanned,5
Eaton End School,2025-07-06,E0103,Unplanned,5
Riverside Academy,2025-06-07,E0100,Sickness,3
HEAD OFFICE,2025-05-03,E0076,Unplanned,5
Head Office,2025-01-22,E0036,Sickness,2
Eaton End,2025-04-27,E0073,Unplanned,4
Northwood Prep,2025-07-07,E0039,Unplanned,3
Shrewsbury High School,2025-07-30,E0082,Unplanned,4
Riverside Academy,2025-09-29,E0065,Sickness,2
Eaton End,2025-04-13,E0033,Sickness,2
Eaton End School,2025-09-23,E0058,Sickness,1
Eaton End,2025-09-23,E0078,Unplanned,1
Riverside Academy,2025-03-06,E0020,Unplanned,4
Eaton End School,2025-06-02,E0048,Unplanned,3
SHREWSBURY HIGH SCHOOL,2025-09-01,E0042,Unplanned,4
