Location,Month,Places,Occupied
Northwood Prep,2025-03,201,155
Eaton End School,2025-10,291,274
Eaton End,2025-12,291,269
Shrewsbury High School,2025-04,178,166
Northwood Prep,2025-06,201,164
Riverside Academy,2025-12,223,201
Riverside Academy,2025-05,223,166
Northwood Prep,2025-09,201,159
Head Office,2025-07,216,173
Eaton End School,2025-11,291,285
Eaton End School,2025-07,291,279
Head Office,2025-12,216,167
SHREWSBURY HIGH SCHOOL,2025-09,178,132
SHREWSBURY HIGH SCHOOL,2025-03,178,144
Riverside Academy,2025-08,223,186
Riverside Academy,2025-06,223,205
SHREWSBURY HIGH SCHOOL,2025-10,178,131
Eaton End School,2025-03,291,274
Northwood Prep,2025-04,201,157
Northwood Prep,2025-02,201,145
Eaton End,2025-05,291,226
Riverside Academy,2025-09,223,177
SHREWSBURY HIGH SCHOOL,2025-05,178,170
Riverside Academy,2025-11,223,190
HEAD OFFICE,2025-11,216,201
Riverside Academy,2025-04,223,192
HEAD OFFICE,2025-09,216,194
HEAD OFFICE,2025-04,216,180
HEAD OFFICE,2025-08,216,160
SHREWSBURY HIGH SCHOOL,2025-06,178,163
Eaton End School,2025-02,291,229
Eaton End School,2025-08,291,279
Eaton End,2025-09,291,213
Northwood Prep,2025-08,201,179
Shrewsbury High School,2025-07,178,138
Head Office,2025-03,216,161
HEAD OFFICE,2025-10,216,205
Northwood Prep,2025-12,201,187
Northwood Prep,2025-10,201,168
Riverside Academy,2025-02,223,161
Northwood Prep,2025-07,201,160
Shrewsbury High School,2025-01,178,148
Eaton End,2025-06,291,226
HEAD OFFICE,2025-02,216,159
Northwood Prep,2025-05,201,175
Head Office,2025-01,216,188
Head Office,2025-06,216,164
Northwood Prep,2025-01,201,182
Riverside Academy,2025-01,223,166
SHREWSBURY HIGH SCHOOL,2025-02,178,152
Shrewsbury High School,2025-08,178,143
Riverside Academy,2025-03,223,217
Riverside Academy,2025-10,223,190
Head Office,2025-05,216,191
Eaton End School,2025-01,291,243
Shrewsbury High School,2025-12,178,136
Riverside Academy,2025-07,223,206
SHREWSBURY HIGH SCHOOL,2025-11,178,163
Northwood Prep,2025-11,201,153
Eaton End,2025-04,291,217
