Location,Period,Financial Row,Amount,Budget Amount,Amount Over Budget
Head Office,2025-01-01,Total - Sales,29821.12,25656.29,4160.55
HEAD OFFICE,2025-01-01,Operating Profit,48693.5,46077.47,2616.1
HEAD OFFICE,2025-01-01,Total - 5005 - Direct Staff  Cost,4337.11,4222.0,111.02
HEAD OFFICE,2025-01-01,5025 - Agency Staff,38782.21,43852.63,-5073.19
Head Office,2025-01-01,Total - Overheads,56841.56,67020.95,-10180.42
Head Office,2025-02-01,Total - Sales,87886.7,71946.96,15937.64
HEAD OFFICE,2025-02-01,Operating Profit,13838.7,11723.0,2118.86
Head Office,2025-02-01,Total - 5005 - Direct Staff  Cost,17084.65,17642.29,-558.92
HEAD OFFICE,2025-02-01,5025 - Agency Staff,49749.26,41048.89,8697.43
HEAD OFFICE,2025-02-01,Total - Overheads,61555.6,59772.76,1783.7
Head Office,2025-03-01,Total - Sales,41333.41,38022.88,3312.52
Head Office,2025-03-01,Operating Profit,22724.59,23401.09,-672.75
Head Office,2025-03-01,Total - 5005 - Direct Staff  Cost,65920.63,60328.92,5587.89
HEAD OFFICE,2025-03-01,5025 - Agency Staff,38212.93,42143.37,-3930.55
Head Office,2025-03-01,Total - Overheads,4489.45,4791.53,-301.35
Head Office,2025-04-01,Total - Sales,78917.53,73038.1,5880.37
Head Office,2025-04-01,Operating Profit,52610.67,51689.04,926.08
HEAD OFFICE,2025-04-01,Total - 5005 - Direct Staff  Cost,43194.75,46030.96,-2834.2
Head Office,2025-04-01,5025 - Agency Staff,58594.47,70151.55,-11559.23
HEAD OFFICE,2025-04-01,Total - Overheads,35335.44,37719.21,-2384.15
HEAD OFFICE,2025-05-01,Total - Sales,15956.31,13512.41,2446.58
HEAD OFFICE,2025-05-01,Operating Profit,12511.28,11248.22,1266.77
Head Office,2025-05-01,Total - 5005 - Direct Staff  Cost,8171.74,8005.65,169.92
HEAD OFFICE,2025-05-01,5025 - Agency Staff,73915.91,84677.61,-10762.55
Head Office,2025-05-01,Total - Overheads,32930.63,37991.31,-5064.17
HEAD OFFICE,2025-06-01,Total - Sales,16683.38,14894.63,1788.6
HEAD OFFICE,2025-06-01,Operating Profit,53431.99,48361.22,5069.96
Head Office,2025-06-01,Total - 5005 - Direct Staff  Cost,33863.57,34762.19,-896.72
Head Office,2025-06-01,5025 - Agency Staff,46878.74,49083.78,-2209.5
Head Office,2025-06-01,Total - Overheads,81058.44,90136.0,-9074.58
HEAD OFFICE,2025-07-01,Total - Sales,35921.72,34470.18,1452.88
HEAD OFFICE,2025-07-01,Operating Profit,6540.06,5408.23,1128.45
HEAD OFFICE,2025-07-01,Total - 5005 - Direct Staff  Cost,31264.78,25669.33,5591.96
HEAD OFFICE,2025-07-01,5025 - Agency Staff,10030.33,9483.12,550.95
HEAD OFFICE,2025-07-01,Total - Overheads,55652.14,47828.57,7822.04
Head Office,2025-08-01,Total - Sales,33410.55,28370.13,5045.35
HEAD OFFICE,2025-08-01,Operating Profit,42473.06,42198.42,270.66
Head Office,2025-08-01,Total - 5005 - Direct Staff  Cost,31494.59,28531.04,2960.16
Head Office,2025-08-01,5025 - Agency Staff,3055.52,3606.72,-554.73
Head Office,2025-08-01,Total - Overheads,49342.35,40007.62,9339.52
HEAD OFFICE,2025-09-01,Total - Sales,77835.93,83944.39,-6109.79
Head Office,2025-09-01,Operating Profit,15866.74,17592.65,-1723.12
Head Office,2025-09-01,Total - 5005 - Direct Staff  Cost,30340.18,26978.99,3366.04
Head Office,2025-09-01,5025 - Agency Staff,76883.96,86296.97,-9410.61
HEAD OFFICE,2025-09-01,Total - Overheads,21179.81,21329.24,-154.14
HEAD OFFICE,2025-10-01,Total - Sales,3486.4,3178.79,309.54
