Location,Absence Start,Employee Ref,Reason,Days
HEAD OFFICE,2025-01-07,E0050,Sickness,1
HEAD OFFICE,2025-01-28,E0005,Unplanned,1
Head Office,2025-01-21,E0106,Unplanned,4
HEAD OFFICE,2025-01-26,E0013,Unplanned,2
HEAD OFFICE,2025-01-14,E0038,Unplanned,1
HEAD OFFICE,2025-01-10,E0045,Sickness,3
HEAD OFFICE,2025-01-20,E0117,Unplanned,4
HEAD OFFICE,2025-01-24,E0109,Sickness,4
Head Office,2025-02-04,E0056,Unplanned,4
HEAD OFFICE,2025-02-19,E0091,Sickness,1
Head Office,2025-02-06,E0074,Unplanned,1
HEAD OFFICE,2025-03-25,E0026,Sickness,1
HEAD OFFICE,2025-03-16,E0045,Unplanned,2
Head Office,2025-03-27,E0064,Unplanned,3
Head Office,2025-03-10,E0074,Sickness,2
HEAD OFFICE,2025-03-21,E0064,Sickness,4
Head Office,2025-03-18,E0101,Sickness,3
HEAD OFFICE,2025-03-13,E0046,Unplanned,1
Head Office,2025-04-12,E0114,Sickness,3
HEAD OFFICE,2025-04-18,E0034,Unplanned,2
Head Office,2025-04-21,E0049,Sickness,4
Head Office,2025-04-25,E0017,Unplanned,5
HEAD OFFICE,2025-04-19,E0083,Unplanned,5
Head Office,2025-04-15,E0020,Unplanned,5
HEAD OFFICE,2025-05-15,E0042,Unplanned,3
HEAD OFFICE,2025-05-11,E0075,Unplanned,2
HEAD OFFICE,2025-05-10,E0065,Unplanned,5
Head Office,2025-05-08,E0020,Unplanned,3
Head Office,2025-05-06,E0078,Sickness,3
HEAD OFFICE,2025-05-24,E0025,Sickness,2
HEAD OFFICE,2025-05-13,E0085,Sickness,2
HEAD OFFICE,2025-05-10,E0102,Unplanned,3
Head Office,2025-06-04,E0014,Unplanned,2
HEAD OFFICE,2025-06-02,E0114,Sickness,4
Head Office,2025-06-23,E0110,Sickness,5
HEAD OFFICE,2025-06-01,E0081,Sickness,3
HEAD OFFICE,2025-07-24,E0095,Sickness,4
Head Office,2025-07-24,E0090,Unplanned,4
HEAD OFFICE,2025-07-24,E0109,Unplanned,5
HEAD OFFICE,2025-07-06,E0110,Unplanned,1
HEAD OFFICE,2025-07-09,E0059,Unplanned,1
HEAD OFFICE,2025-07-26,E0115,Unplanned,2
Head Office,2025-07-16,E0033,Unplanned,1
HEAD OFFICE,2025-08-22,E0110,Unplanned,2
Head Office,2025-08-25,E0115,Sickness,4
HEAD OFFICE,2025-08-04,E0107,Sickness,3
HEAD OFFICE,2025-08-23,E0070,Sickness,5
HEAD OFFICE,2025-08-19,E0045,Unplanned,5
Head Office,2025-08-17,E0027,Sickness,3
HEAD OFFICE,2025-08-24,E0067,Unplanned,2
HEAD OFFICE,2025-09-25,E0024,Sickness,5
Head Office,2025-09-09,E0046,Unplanned,4
HEAD OFFICE,2025-09-03,E0052,Unplanned,4
Head Office,2025-09-12,E0081,Unplanned,3
HEAD OFFICE,2025-09-24,E0014,Unplanned,5
Head Office,2025-09-13,E0029,Unplanned,2
HEAD OFFICE,2025-09-25,E0022,Sickness,2
Head Office,2025-09-24,E0061,Sickness,2
Head Office,2025-10-27,E0086,Unplanned,4
Head Office,2025-10-21,E0038,Sickness,4
Head Office,2025-10-08,E0046,Unplanned,4
HEAD OFFICE,2025-10-14,E0088,Unplanned,2
HEAD OFFICE,2025-10-24,E0062,Unplanned,3
HEAD OFFICE,2025-11-16,E0084,Unplanned,4
Head Office,2025-11-22,E0080,Unplanned,2
HEAD OFFICE,2025-11-13,E0119,Sickness,1
Head Office,2025-11-11,E0106,Sickness,5
Head Office,2025-12-01,E0045,Unplanned,1
Head Office,2025-12-21,E0027,Unplanned,3
HEAD OFFICE,2025-12-05,E0078,Sickness,2
HEAD OFFICE,2025-12-26,E0100,Sickness,2
HEAD OFFICE,2025-12-18,E0116,Sickness,5
Head Office,2025-12-26,E0115,Sickness,5
Head Office,2025-12-10,E0101,Sickness,4
HEAD OFFICE,2025-12-03,E0089,Unplanned,4
Head Office,2025-12-18,E0086,Sickness,3
SHREWSBURY HIGH SCHOOL,2025-01-16,E0030,Unplanned,5
Shrewsbury High School,2025-01-05,E0008,Unplanned,4
Shrewsbury High School,2025-01-18,E0032,Unplanned,1
SHREWSBURY HIGH SCHOOL,2025-01-15,E0021,Unplanned,5
SHREWSBURY HIGH SCHOOL,2025-01-27,E0064,Unplanned,3
Shrewsbury High School,2025-01-22,E0055,Sickness,2
SHREWSBURY HIGH SCHOOL,2025-02-01,E0047,Sickness,5
SHREWSBURY HIGH SCHOOL,2025-02-11,E0006,Sickness,5
Shrewsbury High School,2025-02-05,E0062,Sickness,2
Shrewsbury High School,2025-02-05,E0092,Unplanned,1
SHREWSBURY HIGH SCHOOL,2025-02-11,E0111,Unplanned,5
SHREWSBURY HIGH SCHOOL,2025-02-07,E0071,Unplanned,4
Shrewsbury High School,2025-02-18,E0044,Sickness,3
Shrewsbury High School,2025-02-16,E0038,Unplanned,3
SHREWSBURY HIGH SCHOOL,2025-03-12,E0035,Sickness,4
Shrewsbury High School,2025-03-07,E0102,Unplanned,3
SHREWSBURY HIGH SCHOOL,2025-03-21,E0017,Sickness,1
SHREWSBURY HIGH SCHOOL,2025-03-13,E0052,Unplanned,5
Shrewsbury High School,2025-03-04,E0007,Sickness,1
