Location,Month,Places,Occupied
HEAD OFFICE,2025-01,174,171
Head Office,2025-02,296,264
HEAD OFFICE,2025-03,123,119
HEAD OFFICE,2025-04,292,253
HEAD OFFICE,2025-05,163,142
HEAD OFFICE,2025-06,161,113
Head Office,2025-07,221,164
HEAD OFFICE,2025-08,141,90
Head Office,2025-09,225,225
Head Office,2025-10,183,136
HEAD OFFICE,2025-11,206,143
Head Office,2025-12,156,103
SHREWSBURY HIGH SCHOOL,2025-01,116,79
Shrewsbury High School,2025-02,115,94
SHREWSBURY HIGH SCHOOL,2025-03,102,89
Shrewsbury High School,2025-04,202,168
Shrewsbury High School,2025-05,80,80
Shrewsbury High School,2025-06,188,121
Shrewsbury High School,2025-07,249,239
SHREWSBURY HIGH SCHOOL,2025-08,187,120
Shrewsbury High School,2025-09,192,137
Shrewsbury High School,2025-10,265,196
Shrewsbury High School,2025-11,81,70
Shrewsbury High School,2025-12,225,145
Eaton End,2025-01,218,188
Eaton End School,2025-02,189,132
Eaton End School,2025-03,182,119
Eaton End School,2025-04,287,264
Eaton End,2025-05,253,235
Eaton End School,2025-06,156,146
Eaton End,2025-07,174,121
Eaton End School,2025-08,156,96
Eaton End,2025-09,297,264
Eaton End,2025-10,269,171
Eaton End School,2025-11,117,93
Eaton End School,2025-12,222,186
Northwood Prep,2025-01,172,159
Northwood Prep,2025-02,181,137
Northwood Prep,2025-03,126,87
Northwood Prep,2025-04,220,160
Northwood Prep,2025-05,300,263
Northwood Prep,2025-06,104,104
Northwood Prep,2025-07,144,100
Northwood Prep,2025-08,221,201
Northwood Prep,2025-09,226,200
Northwood Prep,2025-10,230,190
Northwood Prep,2025-11,253,207
Northwood Prep,2025-12,114,103
Riverside Academy,2025-01,209,139
Riverside Academy,2025-02,240,236
Riverside Academy,2025-03,211,176
Riverside Academy,2025-04,219,155
Riverside Academy,2025-05,224,145
Riverside Academy,2025-06,115,108
Riverside Academy,2025-07,94,59
Riverside Academy,2025-08,175,132
Riverside Academy,2025-09,197,135
Riverside Academy,2025-10,189,124
Riverside Academy,2025-11,239,168
Riverside Academy,2025-12,224,179
