order_id,cust_ref,order_date,product,qty,price
O0001,C006,2026-06-11,Gadget,13,30.00
O0002,C002,2026-05-11,Widget,12,12.50
O0003,C004,2026-04-23,Widget,3,12.50
O0004,C002,2026-05-23,Gadget,3,30.00
O0005,C001,2026-06-28,Widget,8,N/A
O0006,C001,2026-02-11,Sprocket,2,4.00
O0007,C003,2026-02-27,Gizmo,14,7.25
O0008,C002,2026-06-15,Gizmo,18,7.25
O0009,C002,2026-01-27,Gadget,12,
O0010,C002,2026-02-25,Widget,20,12.50
O0011,C007,2026-05-24,Gizmo,15,7.25
O0012,C006,2026-02-17,Gizmo,,7.25
O0013,C002,2026-04-20,Gizmo,17,7.25
O0014,C008,2026-01-13,Gizmo,20,7.25
O0015,C007,2026-02-25,Gadget,11,30.00
O0016,C007,2026-05-28,Widget,3,12.50
O0017,C099,2026-06-21,Gizmo,11,7.25
O0018,C008,2026-01-18,Sprocket,3,4.00
O0019,C008,2026-06-19,Widget,2,12.50
O0020,C008,2026-06-21,Gizmo,13,7.25
O0021,C001,2026-02-13,Sprocket,12,4.00
O0022,C008,2026-03-14,Widget,7,N/A
O0023,C004,2026-04-12,Sprocket,13,4.00
O0024,C003,2026-05-18,Sprocket,13,4.00
O0025,C003,2026-03-23,Sprocket,18,4.00
O0026,C006,2026-02-12,Sprocket,8,4.00
O0027,C003,2026-06-17,Gadget,8,30.00
O0028,C001,2026-02-18,Sprocket,19,4.00
O0029,C005,2026-04-27,Widget,5,12.50
O0030,C006,2026-06-26,Gizmo,5,7.25
O0031,C001,2026-04-22,Sprocket,18,N/A
O0032,C007,2026-04-22,Sprocket,4,4.00
O0033,C001,2026-02-24,Gadget,3,30.00
O0034,C003,2026-05-11,Widget,11,12.50
O0035,C002,2026-02-27,Widget,19,12.50
O0036,C002,2026-01-12,Gizmo,20,7.25
O0037,C004,2026-06-18,Sprocket,5,4.00
O0038,C006,2026-01-13,Gizmo,16,7.25
O0039,C008,2026-04-19,Sprocket,16,4.00
O0040,C002,2026-06-20,Gadget,4,30.00
